timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
23:36.6,5420,76 /addcustomer.php,200,OK,AddCustomer 4-213,text,TRUE,,7187,965,30,162,1257,0,0
23:36.6,834,62 /editcustomer.php,200,OK,DeleteCustomer 3-191,text,TRUE,,2622,1138,35,169,395,0,0
23:36.6,2131,75 /admin_hompage.php,200,OK,AddCustomer 4-206,text,TRUE,,4812,961,31,170,1677,0,386
23:36.7,789,100 /adminlogin.php,200,OK,AddStaff 6-199,text,TRUE,,2201,385,27,169,789,0,379
23:36.7,7122,79 /display_customer.php,200,OK,AddCustomer 4-202,text,TRUE,,553421,970,28,155,789,0,387
23:36.8,1270,106 /add_staff.php,200,OK,AddStaff 6-185,text,TRUE,,2626,1313,27,170,392,0,0
23:36.8,6788,79 /display_customer.php,200,OK,AddCustomer 4-196,text,TRUE,,553421,970,30,158,891,0,407
23:36.9,3869,64 /admin_hompage.php,200,OK,DeleteCustomer 3-177,text,TRUE,,4812,971,34,164,422,0,0
23:36.9,440,10 /adminlogin.php,200,OK,EditStaff 1-174,text,TRUE,,2200,385,27,170,440,0,0
23:36.9,10197,71 /adminlogin.php,200,OK,AddCustomer 4-224,text,TRUE,,2201,385,24,142,10197,0,9571
23:36.9,3980,86 /adminlogin.php,200,OK,DeleteStaff 5-224,text,TRUE,,2201,385,25,164,3980,0,3558
23:36.9,7720,90 /admin_hompage.php,200,OK,DeleteStaff 5-219,text,TRUE,,4813,961,21,152,3978,0,3556
23:37.0,9147,92 /editstaff.php,200,OK,DeleteStaff 5-216,text,TRUE,,10083,1654,20,147,3990,0,3567
23:37.0,1425,16 /admin_hompage.php,200,OK,EditStaff 1-160,text,TRUE,,4812,959,28,171,907,0,428
23:37.0,7846,62 /editcustomer.php,200,OK,DeleteCustomer 3-172,text,TRUE,,2623,1138,34,152,4007,0,0
23:37.0,3439,44 /admin_hompage.php,200,OK,EditCustomer 2-102,text,TRUE,,4812,973,23,165,909,0,417
23:37.0,915,24 /,200,OK,EditCustomer 2-125,text,TRUE,,4328,371,25,170,915,0,416
23:37.0,1901,74 /adminlogin.php,200,OK,AddCustomer 4-223,text,TRUE,,7044,1646,31,170,423,0,0
23:37.1,5964,57 /adminlogin.php,200,OK,DeleteCustomer 3-196,text,TRUE,,7045,1646,34,160,921,0,421
23:37.1,892,64 /admin_hompage.php,200,OK,DeleteCustomer 3-180,text,TRUE,,4811,971,36,170,404,0,0
23:37.1,2926,16 /admin_hompage.php,200,OK,EditStaff 1-150,text,TRUE,,4812,959,26,167,1621,0,395
23:37.2,886,12 /admin_hompage.php,200,OK,EditStaff 1-171,text,TRUE,,4811,961,28,170,387,0,0
23:37.2,7681,63 /delete_customer.php,200,OK,DeleteCustomer 3-165,text,TRUE,,553417,973,34,152,471,0,0
23:37.4,3661,11 /adminlogin.php,200,OK,EditStaff 1-174,text,TRUE,,7044,1646,26,164,467,0,0
23:37.4,5608,63 /delete_customer.php,200,OK,DeleteCustomer 3-191,text,TRUE,,553417,973,34,160,493,0,0
23:37.4,1739,32 /admin_hompage.php,200,OK,EditCustomer 2-122,text,TRUE,,4811,961,24,169,488,0,0
23:37.5,4746,103 /adminlogin.php,200,OK,AddStaff 6-199,text,TRUE,,7044,1646,25,162,481,0,0
23:37.5,11604,94 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,DeleteStaff 5-193,text,FALSE,,5248,484,14,36,2187,0,0
23:37.5,1006,62 /editcustomer.php,200,OK,DeleteCustomer 3-193,text,TRUE,,2622,1138,35,171,503,0,0
23:37.7,2495,44 /admin_hompage.php,200,OK,EditCustomer 2-94,text,TRUE,,4812,973,24,166,994,0,518
23:37.8,8203,13 /display_staff.php,200,OK,EditStaff 1-165,text,TRUE,,5858,967,22,148,3955,0,3448
23:37.8,4161,3 /,200,OK,EditStaff 1-175,text,TRUE,,4328,371,26,162,4161,0,3438
23:37.8,10086,55 /adminlogin.php,200,OK,DeleteCustomer 3-200,text,TRUE,,2201,385,33,141,10086,0,9571
23:37.9,11083,44 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,EditCustomer 2-104,text,FALSE,,5783,488,18,115,10062,0,9553
23:37.9,519,30 /adminlogin.php,200,OK,EditCustomer 2-125,text,TRUE,,2200,385,24,171,519,0,0
23:37.9,3421,93 /delete_staff.php,200,OK,DeleteStaff 5-215,text,TRUE,,5855,964,25,164,2504,0,0
23:38.0,986,109 /admin_hompage.php,200,OK,AddStaff 6-157,text,TRUE,,4811,967,28,170,508,0,0
23:38.0,11056,58 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteCustomer 3-195,text,FALSE,,2675,0,31,95,0,0,9550
23:38.0,11060,59 /delete_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteCustomer 3-194,text,FALSE,,1468,0,27,91,1817,0,0
23:38.0,11050,65 /display_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteCustomer 3-180,text,FALSE,,1468,0,33,97,10268,0,9552
23:38.0,3373,16 /admin_hompage.php,200,OK,EditStaff 1-158,text,TRUE,,4812,959,26,164,1978,0,511
23:38.0,996,107 /admin_hompage.php,200,OK,AddStaff 6-185,text,TRUE,,4811,957,27,169,508,0,0
23:38.1,8220,32 /admin_hompage.php,200,OK,EditCustomer 2-118,text,TRUE,,4813,961,22,147,4126,0,3466
23:38.1,3854,13 /display_staff.php,200,OK,EditStaff 1-171,text,TRUE,,5857,967,26,162,505,0,0
23:38.1,11015,93 /delete_staff.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,DeleteStaff 5-203,text,FALSE,,2141,0,2,24,0,0,11014
23:38.1,933,100 /adminlogin.php,200,OK,AddStaff 6-200,text,TRUE,,2201,385,27,169,933,0,484
23:38.2,7505,11 /adminlogin.php,200,OK,EditStaff 1-172,text,TRUE,,7045,1646,23,149,1942,0,492
23:38.3,1852,71 /adminlogin.php,200,OK,AddCustomer 4-225,text,TRUE,,2201,385,30,166,1852,0,453
23:38.3,2369,13 /display_staff.php,200,OK,EditStaff 1-162,text,TRUE,,5857,967,26,164,1821,0,441
23:38.3,9863,41 /alter_customer.php,200,OK,EditCustomer 2-108,text,TRUE,,5208,1815,22,141,7208,0,3495
23:38.3,3937,86 /adminlogin.php,200,OK,DeleteStaff 5-225,text,TRUE,,2201,385,25,162,3937,0,3496
23:38.4,944,17 /display_staff.php,200,OK,EditStaff 1-160,text,TRUE,,5856,967,28,169,444,0,0
23:38.4,2031,31 /adminlogin.php,200,OK,EditCustomer 2-125,text,TRUE,,7044,1646,22,164,463,0,0
23:38.5,5024,63 /delete_customer.php,200,OK,DeleteCustomer 3-193,text,TRUE,,553627,973,34,158,497,0,0
23:38.5,3314,15 /alter_staff.php,200,OK,EditStaff 1-167,text,TRUE,,5206,1825,26,162,977,0,483
23:38.7,1462,76 /addcustomer.php,200,OK,AddCustomer 4-217,text,TRUE,,7187,965,30,166,927,0,433
23:38.7,10405,91 /delete_staff.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,DeleteStaff 5-205,text,FALSE,,2141,0,12,34,0,0,10405
23:38.7,1508,93 /delete_staff.php,200,OK,DeleteStaff 5-208,text,TRUE,,5855,964,25,165,965,0,457
23:38.7,10358,76 /addcustomer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,AddCustomer 4-206,text,FALSE,,2141,0,16,57,0,0,10358
23:38.7,3999,92 /editstaff.php,200,OK,DeleteStaff 5-218,text,TRUE,,10082,1654,23,160,1893,0,465
23:38.8,4097,57 /adminlogin.php,200,OK,DeleteCustomer 3-198,text,TRUE,,7045,1646,34,160,1930,0,483
23:38.9,10098,16 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,EditStaff 1-153,text,FALSE,,2675,0,5,124,0,0,9513
23:38.9,1932,64 /admin_hompage.php,200,OK,DeleteCustomer 3-176,text,TRUE,,4811,971,34,164,509,0,0
23:38.9,9318,33 /display_customer.php,200,OK,EditCustomer 2-119,text,TRUE,,553841,970,22,140,1934,0,513
23:38.9,1026,75 /admin_hompage.php,200,OK,AddCustomer 4-223,text,TRUE,,4811,961,31,167,511,0,0
23:39.0,1575,108 /display_staff.php,200,OK,AddStaff 6-185,text,TRUE,,5857,967,27,164,489,0,0
23:39.0,1029,90 /admin_hompage.php,200,OK,DeleteStaff 5-223,text,TRUE,,4811,961,25,166,490,0,0
23:39.1,1566,103 /adminlogin.php,200,OK,AddStaff 6-200,text,TRUE,,7043,1646,27,164,489,0,0
23:39.1,6217,33 /display_customer.php,200,OK,EditCustomer 2-122,text,TRUE,,553631,970,22,150,1054,0,502
23:39.2,2330,62 /editcustomer.php,200,OK,DeleteCustomer 3-184,text,TRUE,,2623,1138,34,163,1440,0,0
23:39.3,1794,62 /editcustomer.php,200,OK,DeleteCustomer 3-189,text,TRUE,,2622,1138,34,164,510,0,0
23:39.3,4148,103 /adminlogin.php,200,OK,AddStaff 6-198,text,TRUE,,7045,1646,24,158,1857,0,500
23:39.3,5847,103 /adminlogin.php,200,OK,AddStaff 6-194,text,TRUE,,7045,1646,24,150,3705,0,3350
23:39.4,4533,107 /admin_hompage.php,200,OK,AddStaff 6-188,text,TRUE,,4813,957,24,154,3697,0,3350
23:39.4,9698,105 /addstaff.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,AddStaff 6-187,text,FALSE,,2675,0,9,9,0,0,9614
23:39.5,9470,12 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,EditStaff 1-166,text,FALSE,,2141,0,11,130,0,0,9470
23:39.8,2309,62 /editcustomer.php,200,OK,DeleteCustomer 3-181,text,TRUE,,2623,1138,34,162,1330,0,0
23:39.8,9333,108 /display_staff.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,AddStaff 6-177,text,FALSE,,2141,0,19,19,0,0,9332
23:39.8,8829,106 /add_staff.php,200,OK,AddStaff 6-193,text,TRUE,,2627,1313,22,140,3741,0,3354
23:39.8,2900,64 /admin_hompage.php,200,OK,DeleteCustomer 3-167,text,TRUE,,4813,971,34,160,2104,0,563
